# IRAS_10378+1108
# lambda_obs [µm]  fnu_obs [mJy]  efnu [mJy] (expected)
     5.252        2.200        0.883
     5.285        2.573        0.920
     5.317        2.666        0.832
     5.348        1.824        0.770
     5.379        1.907        0.793
     5.412        2.535        0.803
     5.444        2.745        0.747
     5.474        2.410        0.691
     5.538        2.877        0.667
     5.569        4.423        0.706
     5.602        3.733        0.704
     5.633        3.897        0.676
     5.664        4.194        0.653
     5.696        4.851        0.643
     5.727        5.668        0.682
     5.759        4.606        0.650
     5.822        5.865        0.714
     5.855        5.962        0.717
     5.886        7.365        0.794
     5.919        6.879        0.799
     5.950        8.264        0.836
     5.982        6.344        0.792
     6.013        6.827        0.822
     6.044        8.007        0.867
     6.108        7.679        0.831
     6.139        9.439        0.834
     6.172        7.469        0.809
     6.203        7.440        0.810
     6.234       11.239        0.867
     6.267       15.132        0.960
     6.299       11.823        0.907
     6.329        9.156        0.908
     6.393       11.070        0.931
     6.425       10.945        0.888
     6.456       10.903        0.898
     6.488       10.261        0.896
     6.519        8.939        0.961
     6.550        7.450        0.979
     6.583        6.368        0.995
     6.615        6.581        1.046
     6.678        4.641        0.901
     6.710        4.280        0.904
     6.740        4.957        0.988
     6.773        5.711        1.059
     6.805        3.143        0.993
     6.836        5.214        1.053
     6.868        5.747        1.083
     6.899        5.214        1.050
     6.964        8.638        1.254
     6.995        7.440        1.278
     7.027       10.671        1.429
     7.058        9.595        1.322
     7.090       10.752        1.284
     7.122       10.931        1.268
     7.152        8.160        1.149
     7.185       10.590        1.242
     7.248        9.226        1.395
     7.280        9.285        1.445
     7.311       10.030        1.554
     7.342        8.275        1.505
     7.375       10.106        1.573
     7.407        6.408        1.434
     7.438        9.829        1.503
     7.470       10.931        1.605
     7.533       14.922        1.101
     7.607       11.368        0.961
     7.668       10.644        0.903
     7.731        8.508        0.768
     7.793        7.422        0.691
     7.855       10.274        0.714
     7.918       12.049        0.732
     7.979       12.265        0.719
     8.104       11.660        0.634
     8.165       11.426        0.616
     8.228       10.848        0.604
     8.289       11.084        0.616
     8.353       14.043        0.640
     8.415       16.039        0.633
     8.475       19.489        0.658
     8.538       22.714        0.704
     8.661       26.945        0.749
     8.724       26.073        0.704
     8.786       27.427        0.698
     8.849       27.288        0.706
     8.910       27.323        0.709
     8.972       27.462        0.744
     9.034       26.372        0.710
     9.096       25.974        0.685
     9.222       22.800        0.667
     9.283       20.475        0.648
     9.345       19.514        0.657
     9.407       19.123        0.631
     9.470       16.325        0.611
     9.533       14.698        0.587
     9.593       13.299        0.549
     9.655       12.547        0.511
     9.781       10.300        0.541
     9.843        9.992        0.515
     9.903        8.894        0.484
     9.966        6.931        0.458
    10.027        5.395        0.437
    10.091        4.778        0.425
    10.153        3.705        0.415
    10.215        4.491        0.429
    10.340        2.769        0.423
    10.400        2.965        0.439
    10.464        3.672        0.458
    10.525        2.370        0.441
    10.587        3.191        0.445
    10.648        2.646        0.435
    10.710        1.963        0.433
    10.773        2.242        0.425
    10.896        3.863        0.472
